
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2026-07-11T15:07:46.649+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/MaterialBatchMapper.class]
2026-07-11T15:07:46.650+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/MaterialMapper.class]
2026-07-11T15:07:46.650+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/NonconformingProductMapper.class]
2026-07-11T15:07:46.651+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/OperationLogMapper.class]
2026-07-11T15:07:46.652+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/PermissionMapper.class]
2026-07-11T15:07:46.653+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProcessRouteMapper.class]
2026-07-11T15:07:46.653+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProcessStepMapper.class]
2026-07-11T15:07:46.654+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProdDowntimeReasonMapper.class]
2026-07-11T15:07:46.655+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProdHourlyMetricMapper.class]
2026-07-11T15:07:46.655+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProdLineStationMapper.class]
2026-07-11T15:07:46.656+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProdShiftCapacityMapper.class]
2026-07-11T15:07:46.657+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProductionPlanHistoryMapper.class]
2026-07-11T15:07:46.659+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProductionPlanItemMapper.class]
